id,course,topic,question,correct_answer,context,input_text,target_text,distractor_1,distractor_2,distractor_3,difficulty,source_type,quality_label
dg_0016,CAT405,Perception & Design,How do Gestalt principles help users read charts?,Gestalt principles,"Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.","generate distractors: Gestalt principles <sep> How do Gestalt principles help users read charts? <sep> Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.",Proximity <sep> Axis labels <sep> Clutter,Proximity,Axis labels,Clutter,easy,past_quiz,silver
dg_0017,CAT405,Visual Encoding,What are marks in a visualization?,Marks,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart.","generate distractors: Marks <sep> What are marks in a visualization? <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart.",Color hue <sep> Aggregation <sep> Normalization,Color hue,Aggregation,Normalization,hard,textbook_notes,silver
dg_0018,CAT405,Networks & Trees,Which graph layout method uses simulated forces to position nodes?,Force-directed layout,Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings.,generate distractors: Force-directed layout <sep> Which graph layout method uses simulated forces to position nodes? <sep> Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings.,Baseline <sep> Adjacency matrix <sep> Sunburst,Baseline,Adjacency matrix,Sunburst,medium,past_quiz,gold
dg_0019,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate distractors: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.",Baseline <sep> Trend line <sep> Texture,Baseline,Trend line,Texture,easy,past_quiz,silver
dg_0020,CAT405,Charts & Comparison,What is a scatter plot used to analyze?,Scatter plot,A scatter plot shows relationships between two quantitative variables using points on a plane.,generate distractors: Scatter plot <sep> What is a scatter plot used to analyze? <sep> A scatter plot shows relationships between two quantitative variables using points on a plane.,Stacked bar chart <sep> Color scale <sep> Trend line,Stacked bar chart,Color scale,Trend line,easy,past_quiz,silver
dg_0021,CAT405,Charts & Comparison,What type of relationship is a line chart best at showing?,Line chart,"A line chart shows trends over an ordered axis, often time, by connecting points with lines.","generate distractors: Line chart <sep> What type of relationship is a line chart best at showing? <sep> A line chart shows trends over an ordered axis, often time, by connecting points with lines.",Dot plot <sep> Normalization <sep> Baseline,Dot plot,Normalization,Baseline,easy,tutorial,silver
dg_0022,CAT405,Visual Encoding,What is a visual channel used for?,Channels,"Visual channels are properties like position, color, size, and orientation used to encode data values.","generate distractors: Channels <sep> What is a visual channel used for? <sep> Visual channels are properties like position, color, size, and orientation used to encode data values.",Texture <sep> Aggregation <sep> Saturation,Texture,Aggregation,Saturation,easy,tutorial,gold
dg_0023,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,generate distractors: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,Normalization <sep> Baseline <sep> Legend,Normalization,Baseline,Legend,easy,past_quiz,silver
dg_0024,CAT405,Evaluation,What is the data-ink ratio and why is it useful?,Data-ink ratio,Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,generate distractors: Data-ink ratio <sep> What is the data-ink ratio and why is it useful? <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,Accuracy <sep> Baseline <sep> Normalization,Accuracy,Baseline,Normalization,easy,past_quiz,gold
dg_0025,CAT405,Interaction,What does linked views mean in visualization systems?,Linking,Linking connects multiple views so interactions in one view affect the others.,generate distractors: Linking <sep> What does linked views mean in visualization systems? <sep> Linking connects multiple views so interactions in one view affect the others.,Trend line <sep> Selection <sep> Tooltips,Trend line,Selection,Tooltips,medium,past_quiz,silver
dg_0026,CAT405,Perception & Design,How do Gestalt principles help users read charts?,Gestalt principles,"Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.","generate distractors: Gestalt principles <sep> How do Gestalt principles help users read charts? <sep> Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.",Outlier <sep> Axis labels <sep> Aggregation,Outlier,Axis labels,Aggregation,hard,lecture_notes,gold
dg_0027,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate distractors: Histogram <sep> What does a histogram help you understand? <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,Axis labels <sep> Area chart <sep> Box plot,Axis labels,Area chart,Box plot,hard,tutorial,silver
dg_0028,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate distractors: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.",Trend line <sep> Saturation <sep> Color hue,Trend line,Saturation,Color hue,easy,lab_sheet,silver
dg_0029,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate distractors: Histogram <sep> What does a histogram help you understand? <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,Legend <sep> Stacked bar chart <sep> Axis labels,Legend,Stacked bar chart,Axis labels,easy,past_quiz,gold
dg_0030,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,A bar chart compares values across categories using rectangular bars with a common baseline.,generate distractors: Bar chart <sep> When is a bar chart the best choice? <sep> A bar chart compares values across categories using rectangular bars with a common baseline.,Outlier <sep> Box plot <sep> Dot plot,Outlier,Box plot,Dot plot,hard,textbook_notes,silver
dg_0031,CAT405,Charts & Comparison,What type of relationship is a line chart best at showing?,Line chart,"A line chart shows trends over an ordered axis, often time, by connecting points with lines.","generate distractors: Line chart <sep> What type of relationship is a line chart best at showing? <sep> A line chart shows trends over an ordered axis, often time, by connecting points with lines.",Color scale <sep> Baseline <sep> Axis labels,Color scale,Baseline,Axis labels,medium,past_quiz,silver
dg_0032,CAT405,Interaction,What does linked views mean in visualization systems?,Linking,Linking connects multiple views so interactions in one view affect the others.,generate distractors: Linking <sep> What does linked views mean in visualization systems? <sep> Linking connects multiple views so interactions in one view affect the others.,Baseline <sep> Normalization <sep> Panning,Baseline,Normalization,Panning,hard,tutorial,gold
dg_0033,CAT405,Interaction,What does linked views mean in visualization systems?,Linking,Linking connects multiple views so interactions in one view affect the others.,generate distractors: Linking <sep> What does linked views mean in visualization systems? <sep> Linking connects multiple views so interactions in one view affect the others.,Outlier <sep> Legend <sep> Selection,Outlier,Legend,Selection,medium,tutorial,silver
dg_0034,CAT405,Evaluation,What is the data-ink ratio and why is it useful?,Data-ink ratio,Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,generate distractors: Data-ink ratio <sep> What is the data-ink ratio and why is it useful? <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,Error rate <sep> Heuristic review <sep> Accuracy,Error rate,Heuristic review,Accuracy,medium,textbook_notes,gold
dg_0035,CAT405,Perception & Design,How do Gestalt principles help users read charts?,Gestalt principles,"Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.","generate distractors: Gestalt principles <sep> How do Gestalt principles help users read charts? <sep> Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.",Normalization <sep> Clutter <sep> Baseline,Normalization,Clutter,Baseline,medium,textbook_notes,gold
dg_0036,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,A bar chart compares values across categories using rectangular bars with a common baseline.,generate distractors: Bar chart <sep> When is a bar chart the best choice? <sep> A bar chart compares values across categories using rectangular bars with a common baseline.,Color scale <sep> Box plot <sep> Area chart,Color scale,Box plot,Area chart,medium,lab_sheet,silver
dg_0037,CAT405,Interaction,What does linked views mean in visualization systems?,Linking,Linking connects multiple views so interactions in one view affect the others.,generate distractors: Linking <sep> What does linked views mean in visualization systems? <sep> Linking connects multiple views so interactions in one view affect the others.,Tooltips <sep> Axis labels <sep> Selection,Tooltips,Axis labels,Selection,medium,past_quiz,silver
dg_0038,CAT405,Networks & Trees,How does a node-link diagram represent relationships?,Node-link diagram,A node-link diagram represents entities as nodes and relationships as links connecting them.,generate distractors: Node-link diagram <sep> How does a node-link diagram represent relationships? <sep> A node-link diagram represents entities as nodes and relationships as links connecting them.,Treemap <sep> Sankey diagram <sep> Trend line,Treemap,Sankey diagram,Trend line,easy,lecture_notes,gold
dg_0039,CAT405,Evaluation,What is a user study used for in visualization evaluation?,User study,A user study evaluates a visualization by observing how people perform tasks using it.,generate distractors: User study <sep> What is a user study used for in visualization evaluation? <sep> A user study evaluates a visualization by observing how people perform tasks using it.,Legend <sep> Baseline <sep> A/B testing,Legend,Baseline,A/B testing,hard,past_quiz,silver
dg_0040,CAT405,Perception & Design,How do Gestalt principles help users read charts?,Gestalt principles,"Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.","generate distractors: Gestalt principles <sep> How do Gestalt principles help users read charts? <sep> Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.",Color scale <sep> Axis labels <sep> Similarity,Color scale,Axis labels,Similarity,easy,lab_sheet,gold
dg_0041,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,A bar chart compares values across categories using rectangular bars with a common baseline.,generate distractors: Bar chart <sep> When is a bar chart the best choice? <sep> A bar chart compares values across categories using rectangular bars with a common baseline.,Normalization <sep> Pie chart <sep> Heat map,Normalization,Pie chart,Heat map,easy,past_quiz,gold
dg_0042,CAT405,Interaction,What does linked views mean in visualization systems?,Linking,Linking connects multiple views so interactions in one view affect the others.,generate distractors: Linking <sep> What does linked views mean in visualization systems? <sep> Linking connects multiple views so interactions in one view affect the others.,Outlier <sep> Zooming <sep> Tooltips,Outlier,Zooming,Tooltips,hard,lecture_notes,gold
dg_0043,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate distractors: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.",Orientation <sep> Baseline <sep> Position,Orientation,Baseline,Position,medium,past_quiz,silver
dg_0044,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate distractors: Histogram <sep> What does a histogram help you understand? <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,Dot plot <sep> Axis labels <sep> Pie chart,Dot plot,Axis labels,Pie chart,easy,textbook_notes,silver
dg_0045,CAT405,Networks & Trees,How does a node-link diagram represent relationships?,Node-link diagram,A node-link diagram represents entities as nodes and relationships as links connecting them.,generate distractors: Node-link diagram <sep> How does a node-link diagram represent relationships? <sep> A node-link diagram represents entities as nodes and relationships as links connecting them.,Aggregation <sep> Baseline <sep> Axis labels,Aggregation,Baseline,Axis labels,hard,past_quiz,silver
dg_0046,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate distractors: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.",Color hue <sep> Aggregation <sep> Outlier,Color hue,Aggregation,Outlier,medium,lecture_notes,silver
dg_0047,CAT405,Interaction,What is filtering used for in interactive visualization?,Filtering,Filtering lets users include or exclude data subsets to focus on relevant items.,generate distractors: Filtering <sep> What is filtering used for in interactive visualization? <sep> Filtering lets users include or exclude data subsets to focus on relevant items.,Outlier <sep> Tooltips <sep> Color scale,Outlier,Tooltips,Color scale,easy,lab_sheet,silver
dg_0048,CAT405,Evaluation,What is a user study used for in visualization evaluation?,User study,A user study evaluates a visualization by observing how people perform tasks using it.,generate distractors: User study <sep> What is a user study used for in visualization evaluation? <sep> A user study evaluates a visualization by observing how people perform tasks using it.,Outlier <sep> Error rate <sep> Accuracy,Outlier,Error rate,Accuracy,medium,lab_sheet,gold
dg_0049,CAT405,Perception & Design,How do Gestalt principles help users read charts?,Gestalt principles,"Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.","generate distractors: Gestalt principles <sep> How do Gestalt principles help users read charts? <sep> Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.",Gridlines <sep> Trend line <sep> Proximity,Gridlines,Trend line,Proximity,hard,lecture_notes,silver
dg_0050,CAT405,Visual Encoding,What is a visual channel used for?,Channels,"Visual channels are properties like position, color, size, and orientation used to encode data values.","generate distractors: Channels <sep> What is a visual channel used for? <sep> Visual channels are properties like position, color, size, and orientation used to encode data values.",Baseline <sep> Orientation <sep> Aggregation,Baseline,Orientation,Aggregation,medium,lab_sheet,gold
dg_0051,CAT405,Interaction,What is brushing in interactive visualization?,Brushing,Brushing highlights selected items in one view and can link the selection across multiple views.,generate distractors: Brushing <sep> What is brushing in interactive visualization? <sep> Brushing highlights selected items in one view and can link the selection across multiple views.,Tooltips <sep> Selection <sep> Outlier,Tooltips,Selection,Outlier,hard,lab_sheet,gold
dg_0052,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,A bar chart compares values across categories using rectangular bars with a common baseline.,generate distractors: Bar chart <sep> When is a bar chart the best choice? <sep> A bar chart compares values across categories using rectangular bars with a common baseline.,Dot plot <sep> Pie chart <sep> Axis labels,Dot plot,Pie chart,Axis labels,medium,lab_sheet,gold
dg_0053,CAT405,Networks & Trees,How does a node-link diagram represent relationships?,Node-link diagram,A node-link diagram represents entities as nodes and relationships as links connecting them.,generate distractors: Node-link diagram <sep> How does a node-link diagram represent relationships? <sep> A node-link diagram represents entities as nodes and relationships as links connecting them.,Sankey diagram <sep> Radial tree <sep> Adjacency matrix,Sankey diagram,Radial tree,Adjacency matrix,medium,tutorial,gold
dg_0054,CAT405,Interaction,What is brushing in interactive visualization?,Brushing,Brushing highlights selected items in one view and can link the selection across multiple views.,generate distractors: Brushing <sep> What is brushing in interactive visualization? <sep> Brushing highlights selected items in one view and can link the selection across multiple views.,Details-on-demand <sep> Zooming <sep> Panning,Details-on-demand,Zooming,Panning,medium,tutorial,silver
dg_0055,CAT405,Visual Encoding,What are marks in a visualization?,Marks,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart.","generate distractors: Marks <sep> What are marks in a visualization? <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart.",Axis labels <sep> Trend line <sep> Aggregation,Axis labels,Trend line,Aggregation,easy,past_quiz,gold
dg_0056,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,generate distractors: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,Chord diagram <sep> Sankey diagram <sep> Node-link diagram,Chord diagram,Sankey diagram,Node-link diagram,easy,textbook_notes,gold
dg_0057,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate distractors: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.",Legend <sep> Saturation <sep> Aggregation,Legend,Saturation,Aggregation,easy,tutorial,silver
dg_0058,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate distractors: Histogram <sep> What does a histogram help you understand? <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,Aggregation <sep> Color scale <sep> Axis labels,Aggregation,Color scale,Axis labels,hard,lab_sheet,silver
dg_0059,CAT405,Visual Encoding,What is a visual channel used for?,Channels,"Visual channels are properties like position, color, size, and orientation used to encode data values.","generate distractors: Channels <sep> What is a visual channel used for? <sep> Visual channels are properties like position, color, size, and orientation used to encode data values.",Shape <sep> Legend <sep> Normalization,Shape,Legend,Normalization,easy,lab_sheet,gold
dg_0060,CAT405,Interaction,What is filtering used for in interactive visualization?,Filtering,Filtering lets users include or exclude data subsets to focus on relevant items.,generate distractors: Filtering <sep> What is filtering used for in interactive visualization? <sep> Filtering lets users include or exclude data subsets to focus on relevant items.,Baseline <sep> Sorting <sep> Panning,Baseline,Sorting,Panning,hard,lecture_notes,silver
dg_0061,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate distractors: Histogram <sep> What does a histogram help you understand? <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,Normalization <sep> Box plot <sep> Legend,Normalization,Box plot,Legend,easy,tutorial,gold
dg_0062,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate distractors: Histogram <sep> What does a histogram help you understand? <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,Box plot <sep> Violin plot <sep> Stacked bar chart,Box plot,Violin plot,Stacked bar chart,medium,textbook_notes,gold
dg_0063,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate distractors: Histogram <sep> What does a histogram help you understand? <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,Heat map <sep> Legend <sep> Trend line,Heat map,Legend,Trend line,medium,lab_sheet,gold
dg_0064,CAT405,Networks & Trees,Which graph layout method uses simulated forces to position nodes?,Force-directed layout,Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings.,generate distractors: Force-directed layout <sep> Which graph layout method uses simulated forces to position nodes? <sep> Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings.,Baseline <sep> Outlier <sep> Trend line,Baseline,Outlier,Trend line,hard,tutorial,silver
dg_0065,CAT405,Interaction,What does linked views mean in visualization systems?,Linking,Linking connects multiple views so interactions in one view affect the others.,generate distractors: Linking <sep> What does linked views mean in visualization systems? <sep> Linking connects multiple views so interactions in one view affect the others.,Details-on-demand <sep> Tooltips <sep> Drill-down,Details-on-demand,Tooltips,Drill-down,hard,lab_sheet,silver
dg_0066,CAT405,Visual Encoding,What is a visual channel used for?,Channels,"Visual channels are properties like position, color, size, and orientation used to encode data values.","generate distractors: Channels <sep> What is a visual channel used for? <sep> Visual channels are properties like position, color, size, and orientation used to encode data values.",Texture <sep> Color hue <sep> Axis labels,Texture,Color hue,Axis labels,easy,lecture_notes,silver
dg_0067,CAT405,Networks & Trees,When is an adjacency matrix preferable to a node-link diagram?,Adjacency matrix,An adjacency matrix represents a network by marking connections in a grid of rows and columns.,generate distractors: Adjacency matrix <sep> When is an adjacency matrix preferable to a node-link diagram? <sep> An adjacency matrix represents a network by marking connections in a grid of rows and columns.,Radial tree <sep> Normalization <sep> Color scale,Radial tree,Normalization,Color scale,medium,past_quiz,gold
dg_0068,CAT405,Charts & Comparison,What is a scatter plot used to analyze?,Scatter plot,A scatter plot shows relationships between two quantitative variables using points on a plane.,generate distractors: Scatter plot <sep> What is a scatter plot used to analyze? <sep> A scatter plot shows relationships between two quantitative variables using points on a plane.,Stacked bar chart <sep> Normalization <sep> Heat map,Stacked bar chart,Normalization,Heat map,hard,lab_sheet,gold
dg_0069,CAT405,Visual Encoding,What are marks in a visualization?,Marks,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart.","generate distractors: Marks <sep> What are marks in a visualization? <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart.",Color hue <sep> Aggregation <sep> Normalization,Color hue,Aggregation,Normalization,medium,lecture_notes,gold
dg_0070,CAT405,Interaction,What does linked views mean in visualization systems?,Linking,Linking connects multiple views so interactions in one view affect the others.,generate distractors: Linking <sep> What does linked views mean in visualization systems? <sep> Linking connects multiple views so interactions in one view affect the others.,Outlier <sep> Panning <sep> Tooltips,Outlier,Panning,Tooltips,medium,textbook_notes,gold
dg_0071,CAT405,Perception & Design,How do Gestalt principles help users read charts?,Gestalt principles,"Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.","generate distractors: Gestalt principles <sep> How do Gestalt principles help users read charts? <sep> Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.",Axis labels <sep> Proximity <sep> Normalization,Axis labels,Proximity,Normalization,easy,lecture_notes,silver
dg_0072,CAT405,Evaluation,What is the data-ink ratio and why is it useful?,Data-ink ratio,Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,generate distractors: Data-ink ratio <sep> What is the data-ink ratio and why is it useful? <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,Aggregation <sep> Benchmarking <sep> Baseline,Aggregation,Benchmarking,Baseline,easy,lab_sheet,gold
dg_0073,CAT405,Networks & Trees,How does a node-link diagram represent relationships?,Node-link diagram,A node-link diagram represents entities as nodes and relationships as links connecting them.,generate distractors: Node-link diagram <sep> How does a node-link diagram represent relationships? <sep> A node-link diagram represents entities as nodes and relationships as links connecting them.,Trend line <sep> Adjacency matrix <sep> Baseline,Trend line,Adjacency matrix,Baseline,easy,past_quiz,silver
dg_0074,CAT405,Networks & Trees,How does a node-link diagram represent relationships?,Node-link diagram,A node-link diagram represents entities as nodes and relationships as links connecting them.,generate distractors: Node-link diagram <sep> How does a node-link diagram represent relationships? <sep> A node-link diagram represents entities as nodes and relationships as links connecting them.,Normalization <sep> Outlier <sep> Color scale,Normalization,Outlier,Color scale,medium,lecture_notes,gold
dg_0075,CAT405,Evaluation,What is the data-ink ratio and why is it useful?,Data-ink ratio,Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,generate distractors: Data-ink ratio <sep> What is the data-ink ratio and why is it useful? <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,Outlier <sep> Trend line <sep> Error rate,Outlier,Trend line,Error rate,medium,lecture_notes,gold
dg_0076,CAT405,Perception & Design,How do Gestalt principles help users read charts?,Gestalt principles,"Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.","generate distractors: Gestalt principles <sep> How do Gestalt principles help users read charts? <sep> Gestalt principles describe how people group visual elements, such as proximity, similarity, and continuity.",Trend line <sep> Legend <sep> Continuity,Trend line,Legend,Continuity,medium,tutorial,gold
dg_0077,CAT405,Perception & Design,What is chart junk and why should it be avoided?,Chart junk,Chart junk is decorative or unnecessary elements that distract from the data message.,generate distractors: Chart junk <sep> What is chart junk and why should it be avoided? <sep> Chart junk is decorative or unnecessary elements that distract from the data message.,Similarity <sep> Axis labels <sep> Gridlines,Similarity,Axis labels,Gridlines,medium,textbook_notes,gold
