id,course,topic,question,correct_answer,distractor_1,distractor_2,distractor_3,context,input_text,target_text,difficulty,source_type,quality_label
ex_0011,CAT405,Networks & Trees,Which graph layout method uses simulated forces to position nodes?,Force-directed layout,Adjacency matrix,Line chart,Treemap,Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings. This supports accurate interpretation.,generate explanation: Force-directed layout <sep> Which graph layout method uses simulated forces to position nodes? <sep> Adjacency matrix <sep> Line chart <sep> Treemap <sep> Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings. This supports accurate interpretation.,"The correct answer is Force-directed layout because it matches the idea described in the notes. Adjacency matrix, Line chart, and Treemap are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Force-directed layout.",easy,lecture_notes,gold
ex_0012,CAT405,Interaction,What is filtering used for in interactive visualization?,Filtering,Brushing,Tooltips,Zooming,Filtering lets users include or exclude data subsets to focus on relevant items.,generate explanation: Filtering <sep> What is filtering used for in interactive visualization? <sep> Brushing <sep> Tooltips <sep> Zooming <sep> Filtering lets users include or exclude data subsets to focus on relevant items.,"The correct answer is Filtering because it matches the idea described in the notes. Brushing, Tooltips, and Zooming are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Filtering.",hard,textbook_notes,gold
ex_0013,CAT405,Evaluation,What is a user study used for in visualization evaluation?,User study,A/B testing,Benchmarking,Normalization,A user study evaluates a visualization by observing how people perform tasks using it. This is a common principle in visualization design.,generate explanation: User study <sep> What is a user study used for in visualization evaluation? <sep> A/B testing <sep> Benchmarking <sep> Normalization <sep> A user study evaluates a visualization by observing how people perform tasks using it. This is a common principle in visualization design.,"The correct answer is User study because it matches the idea described in the notes. A/B testing, Benchmarking, and Normalization are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits User study.",hard,lecture_notes,gold
ex_0014,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,Line chart,Scatter plot,Histogram,A bar chart compares values across categories using rectangular bars with a common baseline. This supports accurate interpretation.,generate explanation: Bar chart <sep> When is a bar chart the best choice? <sep> Line chart <sep> Scatter plot <sep> Histogram <sep> A bar chart compares values across categories using rectangular bars with a common baseline. This supports accurate interpretation.,"The correct answer is Bar chart because it matches the idea described in the notes. Line chart, Scatter plot, and Histogram are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Bar chart.",medium,textbook_notes,silver
ex_0015,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,Line chart,Pie chart,Bar chart,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate explanation: Histogram <sep> What does a histogram help you understand? <sep> Line chart <sep> Pie chart <sep> Bar chart <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,"The correct answer is Histogram because it matches the idea described in the notes. Line chart, Pie chart, and Bar chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Histogram.",easy,past_quiz,silver
ex_0016,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,Scatter plot,Line chart,Histogram,A bar chart compares values across categories using rectangular bars with a common baseline. This is a common principle in visualization design.,generate explanation: Bar chart <sep> When is a bar chart the best choice? <sep> Scatter plot <sep> Line chart <sep> Histogram <sep> A bar chart compares values across categories using rectangular bars with a common baseline. This is a common principle in visualization design.,"The correct answer is Bar chart because it matches the idea described in the notes. Scatter plot, Line chart, and Histogram are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Bar chart.",hard,tutorial,silver
ex_0017,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,Scatter plot,Line chart,Histogram,A bar chart compares values across categories using rectangular bars with a common baseline. This supports accurate interpretation.,generate explanation: Bar chart <sep> When is a bar chart the best choice? <sep> Scatter plot <sep> Line chart <sep> Histogram <sep> A bar chart compares values across categories using rectangular bars with a common baseline. This supports accurate interpretation.,"The correct answer is Bar chart because it matches the idea described in the notes. Scatter plot, Line chart, and Histogram are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Bar chart.",medium,textbook_notes,silver
ex_0018,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,Line chart,Pie chart,Bar chart,A histogram shows the distribution of a numerical variable by grouping values into bins. This is a common principle in visualization design.,generate explanation: Histogram <sep> What does a histogram help you understand? <sep> Line chart <sep> Pie chart <sep> Bar chart <sep> A histogram shows the distribution of a numerical variable by grouping values into bins. This is a common principle in visualization design.,"The correct answer is Histogram because it matches the idea described in the notes. Line chart, Pie chart, and Bar chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Histogram.",easy,past_quiz,silver
ex_0019,CAT405,Interaction,What is filtering used for in interactive visualization?,Filtering,Brushing,Tooltips,Zooming,Filtering lets users include or exclude data subsets to focus on relevant items.,generate explanation: Filtering <sep> What is filtering used for in interactive visualization? <sep> Brushing <sep> Tooltips <sep> Zooming <sep> Filtering lets users include or exclude data subsets to focus on relevant items.,"The correct answer is Filtering because it matches the idea described in the notes. Brushing, Tooltips, and Zooming are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Filtering.",medium,lab_sheet,gold
ex_0020,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,Line chart,Adjacency matrix,Scatter plot,A treemap represents hierarchical data with nested rectangles sized by a quantitative value. This supports accurate interpretation.,generate explanation: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> Line chart <sep> Adjacency matrix <sep> Scatter plot <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value. This supports accurate interpretation.,"The correct answer is Treemap because it matches the idea described in the notes. Line chart, Adjacency matrix, and Scatter plot are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Treemap.",easy,lab_sheet,gold
ex_0021,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,Line chart,Scatter plot,Histogram,A bar chart compares values across categories using rectangular bars with a common baseline.,generate explanation: Bar chart <sep> When is a bar chart the best choice? <sep> Line chart <sep> Scatter plot <sep> Histogram <sep> A bar chart compares values across categories using rectangular bars with a common baseline.,"The correct answer is Bar chart because it matches the idea described in the notes. Line chart, Scatter plot, and Histogram are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Bar chart.",medium,tutorial,silver
ex_0022,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,Removes data variability,Randomizes visual elements,Stores raw data in tables,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate explanation: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Removes data variability <sep> Randomizes visual elements <sep> Stores raw data in tables <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","The correct answer is Visual encoding because it matches the idea described in the notes. Removes data variability, Randomizes visual elements, and Stores raw data in tables are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Visual encoding.",medium,textbook_notes,silver
ex_0023,CAT405,Interaction,What is filtering used for in interactive visualization?,Filtering,Zooming,Tooltips,Brushing,Filtering lets users include or exclude data subsets to focus on relevant items. This supports accurate interpretation.,generate explanation: Filtering <sep> What is filtering used for in interactive visualization? <sep> Zooming <sep> Tooltips <sep> Brushing <sep> Filtering lets users include or exclude data subsets to focus on relevant items. This supports accurate interpretation.,"The correct answer is Filtering because it matches the idea described in the notes. Zooming, Tooltips, and Brushing are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Filtering.",easy,textbook_notes,silver
ex_0024,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,Scatter plot,Line chart,Histogram,A bar chart compares values across categories using rectangular bars with a common baseline. This supports accurate interpretation.,generate explanation: Bar chart <sep> When is a bar chart the best choice? <sep> Scatter plot <sep> Line chart <sep> Histogram <sep> A bar chart compares values across categories using rectangular bars with a common baseline. This supports accurate interpretation.,"The correct answer is Bar chart because it matches the idea described in the notes. Scatter plot, Line chart, and Histogram are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Bar chart.",hard,tutorial,gold
ex_0025,CAT405,Perception & Design,What is chart junk and why should it be avoided?,Chart junk,Annotation,Baseline,Data-ink ratio,Chart junk is decorative or unnecessary elements that distract from the data message. This is a common principle in visualization design.,generate explanation: Chart junk <sep> What is chart junk and why should it be avoided? <sep> Annotation <sep> Baseline <sep> Data-ink ratio <sep> Chart junk is decorative or unnecessary elements that distract from the data message. This is a common principle in visualization design.,"The correct answer is Chart junk because it matches the idea described in the notes. Annotation, Baseline, and Data-ink ratio are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Chart junk.",easy,textbook_notes,silver
ex_0026,CAT405,Perception & Design,What is chart junk and why should it be avoided?,Chart junk,Annotation,Baseline,Data-ink ratio,Chart junk is decorative or unnecessary elements that distract from the data message.,generate explanation: Chart junk <sep> What is chart junk and why should it be avoided? <sep> Annotation <sep> Baseline <sep> Data-ink ratio <sep> Chart junk is decorative or unnecessary elements that distract from the data message.,"The correct answer is Chart junk because it matches the idea described in the notes. Annotation, Baseline, and Data-ink ratio are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Chart junk.",easy,tutorial,gold
ex_0027,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,Line chart,Adjacency matrix,Scatter plot,A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,generate explanation: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> Line chart <sep> Adjacency matrix <sep> Scatter plot <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,"The correct answer is Treemap because it matches the idea described in the notes. Line chart, Adjacency matrix, and Scatter plot are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Treemap.",hard,past_quiz,gold
ex_0028,CAT405,Visual Encoding,What are marks in a visualization?,Marks,Legend,Color scale,Axis labels,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart.","generate explanation: Marks <sep> What are marks in a visualization? <sep> Legend <sep> Color scale <sep> Axis labels <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart.","The correct answer is Marks because it matches the idea described in the notes. Legend, Color scale, and Axis labels are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Marks.",medium,textbook_notes,silver
ex_0029,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,Adjacency matrix,Scatter plot,Line chart,A treemap represents hierarchical data with nested rectangles sized by a quantitative value. This is a common principle in visualization design.,generate explanation: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> Adjacency matrix <sep> Scatter plot <sep> Line chart <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value. This is a common principle in visualization design.,"The correct answer is Treemap because it matches the idea described in the notes. Adjacency matrix, Scatter plot, and Line chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Treemap.",easy,tutorial,gold
ex_0030,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,Line chart,Adjacency matrix,Scatter plot,A treemap represents hierarchical data with nested rectangles sized by a quantitative value. This is a common principle in visualization design.,generate explanation: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> Line chart <sep> Adjacency matrix <sep> Scatter plot <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value. This is a common principle in visualization design.,"The correct answer is Treemap because it matches the idea described in the notes. Line chart, Adjacency matrix, and Scatter plot are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Treemap.",hard,textbook_notes,gold
ex_0031,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,Stores raw data in tables,Removes data variability,Randomizes visual elements,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate explanation: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Stores raw data in tables <sep> Removes data variability <sep> Randomizes visual elements <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","The correct answer is Visual encoding because it matches the idea described in the notes. Stores raw data in tables, Removes data variability, and Randomizes visual elements are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Visual encoding.",medium,textbook_notes,gold
ex_0032,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,Bar chart,Pie chart,Line chart,A histogram shows the distribution of a numerical variable by grouping values into bins. This is a common principle in visualization design.,generate explanation: Histogram <sep> What does a histogram help you understand? <sep> Bar chart <sep> Pie chart <sep> Line chart <sep> A histogram shows the distribution of a numerical variable by grouping values into bins. This is a common principle in visualization design.,"The correct answer is Histogram because it matches the idea described in the notes. Bar chart, Pie chart, and Line chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Histogram.",easy,tutorial,silver
ex_0033,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,Line chart,Histogram,Scatter plot,A bar chart compares values across categories using rectangular bars with a common baseline. This is a common principle in visualization design.,generate explanation: Bar chart <sep> When is a bar chart the best choice? <sep> Line chart <sep> Histogram <sep> Scatter plot <sep> A bar chart compares values across categories using rectangular bars with a common baseline. This is a common principle in visualization design.,"The correct answer is Bar chart because it matches the idea described in the notes. Line chart, Histogram, and Scatter plot are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Bar chart.",hard,past_quiz,gold
ex_0034,CAT405,Evaluation,What is the data-ink ratio and why is it useful?,Data-ink ratio,Bias,Chart junk,Clutter,Data-ink ratio compares ink used to show data versus ink used for non-data decoration. This is a common principle in visualization design.,generate explanation: Data-ink ratio <sep> What is the data-ink ratio and why is it useful? <sep> Bias <sep> Chart junk <sep> Clutter <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration. This is a common principle in visualization design.,"The correct answer is Data-ink ratio because it matches the idea described in the notes. Bias, Chart junk, and Clutter are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Data-ink ratio.",hard,lab_sheet,silver
ex_0035,CAT405,Perception & Design,What is chart junk and why should it be avoided?,Chart junk,Baseline,Annotation,Data-ink ratio,Chart junk is decorative or unnecessary elements that distract from the data message.,generate explanation: Chart junk <sep> What is chart junk and why should it be avoided? <sep> Baseline <sep> Annotation <sep> Data-ink ratio <sep> Chart junk is decorative or unnecessary elements that distract from the data message.,"The correct answer is Chart junk because it matches the idea described in the notes. Baseline, Annotation, and Data-ink ratio are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Chart junk.",hard,lab_sheet,gold
ex_0036,CAT405,Networks & Trees,Which graph layout method uses simulated forces to position nodes?,Force-directed layout,Line chart,Treemap,Adjacency matrix,Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings. This is a common principle in visualization design.,generate explanation: Force-directed layout <sep> Which graph layout method uses simulated forces to position nodes? <sep> Line chart <sep> Treemap <sep> Adjacency matrix <sep> Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings. This is a common principle in visualization design.,"The correct answer is Force-directed layout because it matches the idea described in the notes. Line chart, Treemap, and Adjacency matrix are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Force-directed layout.",medium,lecture_notes,gold
ex_0037,CAT405,Visual Encoding,What are marks in a visualization?,Marks,Axis labels,Color scale,Legend,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This is a common principle in visualization design.","generate explanation: Marks <sep> What are marks in a visualization? <sep> Axis labels <sep> Color scale <sep> Legend <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This is a common principle in visualization design.","The correct answer is Marks because it matches the idea described in the notes. Axis labels, Color scale, and Legend are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Marks.",hard,lecture_notes,silver
ex_0038,CAT405,Interaction,What is filtering used for in interactive visualization?,Filtering,Zooming,Tooltips,Brushing,Filtering lets users include or exclude data subsets to focus on relevant items. This supports accurate interpretation.,generate explanation: Filtering <sep> What is filtering used for in interactive visualization? <sep> Zooming <sep> Tooltips <sep> Brushing <sep> Filtering lets users include or exclude data subsets to focus on relevant items. This supports accurate interpretation.,"The correct answer is Filtering because it matches the idea described in the notes. Zooming, Tooltips, and Brushing are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Filtering.",easy,tutorial,gold
ex_0039,CAT405,Visual Encoding,What does visual encoding do in data visualization?,Visual encoding,Stores raw data in tables,Randomizes visual elements,Removes data variability,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","generate explanation: Visual encoding <sep> What does visual encoding do in data visualization? <sep> Stores raw data in tables <sep> Randomizes visual elements <sep> Removes data variability <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape.","The correct answer is Visual encoding because it matches the idea described in the notes. Stores raw data in tables, Randomizes visual elements, and Removes data variability are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Visual encoding.",easy,lab_sheet,silver
ex_0040,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,Adjacency matrix,Scatter plot,Line chart,A treemap represents hierarchical data with nested rectangles sized by a quantitative value. This supports accurate interpretation.,generate explanation: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> Adjacency matrix <sep> Scatter plot <sep> Line chart <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value. This supports accurate interpretation.,"The correct answer is Treemap because it matches the idea described in the notes. Adjacency matrix, Scatter plot, and Line chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Treemap.",medium,lab_sheet,silver
ex_0041,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,Line chart,Bar chart,Pie chart,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate explanation: Histogram <sep> What does a histogram help you understand? <sep> Line chart <sep> Bar chart <sep> Pie chart <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,"The correct answer is Histogram because it matches the idea described in the notes. Line chart, Bar chart, and Pie chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Histogram.",medium,tutorial,silver
ex_0042,CAT405,Networks & Trees,Which graph layout method uses simulated forces to position nodes?,Force-directed layout,Treemap,Adjacency matrix,Line chart,Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings. This supports accurate interpretation.,generate explanation: Force-directed layout <sep> Which graph layout method uses simulated forces to position nodes? <sep> Treemap <sep> Adjacency matrix <sep> Line chart <sep> Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings. This supports accurate interpretation.,"The correct answer is Force-directed layout because it matches the idea described in the notes. Treemap, Adjacency matrix, and Line chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Force-directed layout.",hard,textbook_notes,silver
ex_0043,CAT405,Charts & Comparison,What does a histogram help you understand?,Histogram,Bar chart,Pie chart,Line chart,A histogram shows the distribution of a numerical variable by grouping values into bins. This supports accurate interpretation.,generate explanation: Histogram <sep> What does a histogram help you understand? <sep> Bar chart <sep> Pie chart <sep> Line chart <sep> A histogram shows the distribution of a numerical variable by grouping values into bins. This supports accurate interpretation.,"The correct answer is Histogram because it matches the idea described in the notes. Bar chart, Pie chart, and Line chart are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Histogram.",medium,textbook_notes,silver
ex_0044,CAT405,Evaluation,What is the data-ink ratio and why is it useful?,Data-ink ratio,Bias,Chart junk,Clutter,Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,generate explanation: Data-ink ratio <sep> What is the data-ink ratio and why is it useful? <sep> Bias <sep> Chart junk <sep> Clutter <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration.,"The correct answer is Data-ink ratio because it matches the idea described in the notes. Bias, Chart junk, and Clutter are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Data-ink ratio.",medium,tutorial,silver
ex_0045,CAT405,Networks & Trees,Which visualization uses nested rectangles to show hierarchical proportions?,Treemap,Line chart,Scatter plot,Adjacency matrix,A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,generate explanation: Treemap <sep> Which visualization uses nested rectangles to show hierarchical proportions? <sep> Line chart <sep> Scatter plot <sep> Adjacency matrix <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value.,"The correct answer is Treemap because it matches the idea described in the notes. Line chart, Scatter plot, and Adjacency matrix are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Treemap.",hard,tutorial,gold
ex_0046,CAT405,Evaluation,What is the data-ink ratio and why is it useful?,Data-ink ratio,Chart junk,Clutter,Bias,Data-ink ratio compares ink used to show data versus ink used for non-data decoration. This is a common principle in visualization design.,generate explanation: Data-ink ratio <sep> What is the data-ink ratio and why is it useful? <sep> Chart junk <sep> Clutter <sep> Bias <sep> Data-ink ratio compares ink used to show data versus ink used for non-data decoration. This is a common principle in visualization design.,"The correct answer is Data-ink ratio because it matches the idea described in the notes. Chart junk, Clutter, and Bias are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Data-ink ratio.",hard,past_quiz,gold
ex_0047,CAT405,Charts & Comparison,When is a bar chart the best choice?,Bar chart,Line chart,Scatter plot,Histogram,A bar chart compares values across categories using rectangular bars with a common baseline.,generate explanation: Bar chart <sep> When is a bar chart the best choice? <sep> Line chart <sep> Scatter plot <sep> Histogram <sep> A bar chart compares values across categories using rectangular bars with a common baseline.,"The correct answer is Bar chart because it matches the idea described in the notes. Line chart, Scatter plot, and Histogram are less suitable because they refer to different concepts or functions. Use the context to identify the key purpose or definition that best fits Bar chart.",hard,lab_sheet,silver
