id,course,topic,concept,context,input_text,target_text,difficulty,source_type,quality_label
qg_0025,CAT405,Foundations,Data visualization,"Data visualization uses graphical representations to help people understand data patterns, trends, and outliers. It supports common analytical tasks like comparison and identification of patterns.","generate question: Data visualization <sep> Data visualization uses graphical representations to help people understand data patterns, trends, and outliers. It supports common analytical tasks like comparison and identification of patterns.",What is the main purpose of data visualization?,hard,lab_sheet,silver
qg_0026,CAT405,Visual Encoding,Color luminance,Luminance changes the lightness of a color and is often used to represent ordered or quantitative values.,generate question: Color luminance <sep> Luminance changes the lightness of a color and is often used to represent ordered or quantitative values.,Why is luminance useful for encoding ordered values?,hard,textbook_notes,silver
qg_0027,CAT405,Networks & Trees,Adjacency matrix,An adjacency matrix represents a network by marking connections in a grid of rows and columns. This is often taught as a core principle in visualization design.,generate question: Adjacency matrix <sep> An adjacency matrix represents a network by marking connections in a grid of rows and columns. This is often taught as a core principle in visualization design.,When is an adjacency matrix preferable to a node-link diagram?,easy,past_quiz,silver
qg_0028,CAT405,Foundations,Context,"Context is the surrounding information that helps interpret data correctly, including domain and audience needs. It supports common analytical tasks like comparison and identification of patterns.","generate question: Context <sep> Context is the surrounding information that helps interpret data correctly, including domain and audience needs. It supports common analytical tasks like comparison and identification of patterns.",Why is context important when interpreting a visualization?,easy,past_quiz,gold
qg_0029,CAT405,Visual Encoding,Color hue,Color hue differentiates categories by using different colors without implying order. Good design choices improve interpretation and reduce misunderstanding.,generate question: Color hue <sep> Color hue differentiates categories by using different colors without implying order. Good design choices improve interpretation and reduce misunderstanding.,When is color hue most appropriate as an encoding?,easy,lecture_notes,gold
qg_0030,CAT405,Evaluation,Bias,Bias occurs when design choices systematically mislead interpretation or emphasize certain messages. It supports common analytical tasks like comparison and identification of patterns.,generate question: Bias <sep> Bias occurs when design choices systematically mislead interpretation or emphasize certain messages. It supports common analytical tasks like comparison and identification of patterns.,Explain how can visualization design introduce bias?,easy,lab_sheet,gold
qg_0031,CAT405,Visual Encoding,Visual encoding,"Visual encoding maps data attributes to visual channels such as position, color, size, and shape. It supports common analytical tasks like comparison and identification of patterns.","generate question: Visual encoding <sep> Visual encoding maps data attributes to visual channels such as position, color, size, and shape. It supports common analytical tasks like comparison and identification of patterns.",What does visual encoding do in data visualization?,medium,tutorial,silver
qg_0032,CAT405,Perception & Design,Chart junk,Chart junk is decorative or unnecessary elements that distract from the data message. Good design choices improve interpretation and reduce misunderstanding.,generate question: Chart junk <sep> Chart junk is decorative or unnecessary elements that distract from the data message. Good design choices improve interpretation and reduce misunderstanding.,What is chart junk and why should it be avoided?,easy,lecture_notes,silver
qg_0033,CAT405,Interaction,Filtering,Filtering lets users include or exclude data subsets to focus on relevant items. This is often taught as a core principle in visualization design.,generate question: Filtering <sep> Filtering lets users include or exclude data subsets to focus on relevant items. This is often taught as a core principle in visualization design.,What is filtering used for in interactive visualization?,medium,lecture_notes,gold
qg_0034,CAT405,Visual Encoding,Channels,"Visual channels are properties like position, color, size, and orientation used to encode data values. Good design choices improve interpretation and reduce misunderstanding.","generate question: Channels <sep> Visual channels are properties like position, color, size, and orientation used to encode data values. Good design choices improve interpretation and reduce misunderstanding.",What is a visual channel used for?,medium,tutorial,gold
qg_0035,CAT405,Charts & Comparison,Scatter plot,A scatter plot shows relationships between two quantitative variables using points on a plane. Good design choices improve interpretation and reduce misunderstanding.,generate question: Scatter plot <sep> A scatter plot shows relationships between two quantitative variables using points on a plane. Good design choices improve interpretation and reduce misunderstanding.,Define a scatter plot used to analyze?,hard,textbook_notes,gold
qg_0036,CAT405,Interaction,Tooltips,Tooltips show details-on-demand when users hover or click on marks. Good design choices improve interpretation and reduce misunderstanding.,generate question: Tooltips <sep> Tooltips show details-on-demand when users hover or click on marks. Good design choices improve interpretation and reduce misunderstanding.,What are tooltips used for?,hard,lab_sheet,silver
qg_0037,CAT405,Visual Encoding,Position,Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. Good design choices improve interpretation and reduce misunderstanding.,generate question: Position <sep> Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. Good design choices improve interpretation and reduce misunderstanding.,Why is position considered a strong visual encoding channel?,hard,textbook_notes,silver
qg_0038,CAT405,Charts & Comparison,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins. It supports common analytical tasks like comparison and identification of patterns.,generate question: Histogram <sep> A histogram shows the distribution of a numerical variable by grouping values into bins. It supports common analytical tasks like comparison and identification of patterns.,What does a histogram help you understand?,medium,tutorial,gold
qg_0039,CAT405,Interaction,Tooltips,Tooltips show details-on-demand when users hover or click on marks. This is often taught as a core principle in visualization design.,generate question: Tooltips <sep> Tooltips show details-on-demand when users hover or click on marks. This is often taught as a core principle in visualization design.,What are tooltips used for?,hard,lecture_notes,gold
qg_0040,CAT405,Perception & Design,Preattentive attributes,"Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. This is often taught as a core principle in visualization design.","generate question: Preattentive attributes <sep> Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. This is often taught as a core principle in visualization design.",What are preattentive attributes and why do they matter?,easy,textbook_notes,silver
qg_0041,CAT405,Networks & Trees,Edge crossings,"Edge crossings occur when links overlap in a node-link graph, often reducing readability. Good design choices improve interpretation and reduce misunderstanding.","generate question: Edge crossings <sep> Edge crossings occur when links overlap in a node-link graph, often reducing readability. Good design choices improve interpretation and reduce misunderstanding.",Explain why are edge crossings a problem in network diagrams?,easy,tutorial,gold
qg_0042,CAT405,Charts & Comparison,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins. This is often taught as a core principle in visualization design.,generate question: Histogram <sep> A histogram shows the distribution of a numerical variable by grouping values into bins. This is often taught as a core principle in visualization design.,What does a histogram help you understand?,medium,tutorial,silver
qg_0043,CAT405,Foundations,Data visualization,"Data visualization uses graphical representations to help people understand data patterns, trends, and outliers. This is often taught as a core principle in visualization design.","generate question: Data visualization <sep> Data visualization uses graphical representations to help people understand data patterns, trends, and outliers. This is often taught as a core principle in visualization design.",What is the main purpose of data visualization?,hard,lecture_notes,gold
qg_0044,CAT405,Networks & Trees,Force-directed layout,Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings. It supports common analytical tasks like comparison and identification of patterns.,generate question: Force-directed layout <sep> Force-directed layout positions nodes by simulating attractive and repulsive forces to reduce overlap and edge crossings. It supports common analytical tasks like comparison and identification of patterns.,Select which graph layout method uses simulated forces to position nodes?,easy,past_quiz,silver
qg_0045,CAT405,Visual Encoding,Marks,"Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This is often taught as a core principle in visualization design.","generate question: Marks <sep> Marks are basic geometric elements like points, lines, and areas that represent data in a chart. This is often taught as a core principle in visualization design.",What are marks in a visualization?,medium,lecture_notes,gold
qg_0046,CAT405,Visual Encoding,Position,Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. It supports common analytical tasks like comparison and identification of patterns.,generate question: Position <sep> Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. It supports common analytical tasks like comparison and identification of patterns.,Why is position considered a strong visual encoding channel?,easy,textbook_notes,silver
qg_0047,CAT405,Visual Encoding,Size,Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values. This is often taught as a core principle in visualization design.,generate question: Size <sep> Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values. This is often taught as a core principle in visualization design.,How does size typically encode data in charts?,easy,textbook_notes,gold
qg_0048,CAT405,Foundations,Insight,An insight is a meaningful understanding gained from data that supports decision-making or explains a phenomenon.,generate question: Insight <sep> An insight is a meaningful understanding gained from data that supports decision-making or explains a phenomenon.,What is an insight in the context of data analysis?,hard,tutorial,silver
qg_0049,CAT405,Charts & Comparison,Line chart,"A line chart shows trends over an ordered axis, often time, by connecting points with lines. It supports common analytical tasks like comparison and identification of patterns.","generate question: Line chart <sep> A line chart shows trends over an ordered axis, often time, by connecting points with lines. It supports common analytical tasks like comparison and identification of patterns.",What type of relationship is a line chart best at showing?,medium,tutorial,silver
qg_0050,CAT405,Interaction,Zooming,Zooming changes scale to see more detail or more overview of the data. It supports common analytical tasks like comparison and identification of patterns.,generate question: Zooming <sep> Zooming changes scale to see more detail or more overview of the data. It supports common analytical tasks like comparison and identification of patterns.,Why is zooming useful in interactive charts?,medium,lab_sheet,silver
qg_0051,CAT405,Visual Encoding,Color luminance,Luminance changes the lightness of a color and is often used to represent ordered or quantitative values.,generate question: Color luminance <sep> Luminance changes the lightness of a color and is often used to represent ordered or quantitative values.,Explain why is luminance useful for encoding ordered values?,medium,textbook_notes,silver
qg_0052,CAT405,Interaction,Zooming,Zooming changes scale to see more detail or more overview of the data. It supports common analytical tasks like comparison and identification of patterns.,generate question: Zooming <sep> Zooming changes scale to see more detail or more overview of the data. It supports common analytical tasks like comparison and identification of patterns.,Why is zooming useful in interactive charts?,easy,textbook_notes,gold
qg_0053,CAT405,Networks & Trees,Edge crossings,"Edge crossings occur when links overlap in a node-link graph, often reducing readability. It supports common analytical tasks like comparison and identification of patterns.","generate question: Edge crossings <sep> Edge crossings occur when links overlap in a node-link graph, often reducing readability. It supports common analytical tasks like comparison and identification of patterns.",Why are edge crossings a problem in network diagrams?,easy,tutorial,gold
qg_0054,CAT405,Visual Encoding,Size,Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values. This is often taught as a core principle in visualization design.,generate question: Size <sep> Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values. This is often taught as a core principle in visualization design.,Explain how does size typically encode data in charts?,hard,lecture_notes,gold
qg_0055,CAT405,Perception & Design,Similarity,"Similarity groups items that look alike, such as sharing the same color or shape. This is often taught as a core principle in visualization design.","generate question: Similarity <sep> Similarity groups items that look alike, such as sharing the same color or shape. This is often taught as a core principle in visualization design.",How does similarity influence grouping in a visualization?,hard,lecture_notes,gold
qg_0056,CAT405,Charts & Comparison,Line chart,"A line chart shows trends over an ordered axis, often time, by connecting points with lines. Good design choices improve interpretation and reduce misunderstanding.","generate question: Line chart <sep> A line chart shows trends over an ordered axis, often time, by connecting points with lines. Good design choices improve interpretation and reduce misunderstanding.",What type of relationship is a line chart best at showing?,easy,textbook_notes,silver
qg_0057,CAT405,Evaluation,Accuracy,Accuracy is how correctly users can estimate values or compare differences from a visualization.,generate question: Accuracy <sep> Accuracy is how correctly users can estimate values or compare differences from a visualization.,Why is accuracy important when choosing an encoding?,medium,lab_sheet,gold
qg_0058,CAT405,Perception & Design,Preattentive attributes,"Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. This is often taught as a core principle in visualization design.","generate question: Preattentive attributes <sep> Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. This is often taught as a core principle in visualization design.",What are preattentive attributes and why do they matter?,hard,past_quiz,gold
qg_0059,CAT405,Interaction,Tooltips,Tooltips show details-on-demand when users hover or click on marks. Good design choices improve interpretation and reduce misunderstanding.,generate question: Tooltips <sep> Tooltips show details-on-demand when users hover or click on marks. Good design choices improve interpretation and reduce misunderstanding.,What are tooltips used for?,easy,past_quiz,gold
qg_0060,CAT405,Networks & Trees,Tree,A tree represents hierarchical parent-child relationships where each node (except root) has one parent.,generate question: Tree <sep> A tree represents hierarchical parent-child relationships where each node (except root) has one parent.,Select which structure is commonly used to represent hierarchies?,medium,lab_sheet,gold
qg_0061,CAT405,Charts & Comparison,Box plot,"A box plot summarizes a distribution using median, quartiles, and potential outliers. This is often taught as a core principle in visualization design.","generate question: Box plot <sep> A box plot summarizes a distribution using median, quartiles, and potential outliers. This is often taught as a core principle in visualization design.",What information does a box plot communicate?,easy,lab_sheet,gold
qg_0062,CAT405,Visual Encoding,Size,Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values. Good design choices improve interpretation and reduce misunderstanding.,generate question: Size <sep> Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values. Good design choices improve interpretation and reduce misunderstanding.,How does size typically encode data in charts?,medium,tutorial,silver
qg_0063,CAT405,Charts & Comparison,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate question: Histogram <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,What does a histogram help you understand?,medium,tutorial,gold
qg_0064,CAT405,Visual Encoding,Position,Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. This is often taught as a core principle in visualization design.,generate question: Position <sep> Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. This is often taught as a core principle in visualization design.,Why is position considered a strong visual encoding channel?,medium,lab_sheet,silver
qg_0065,CAT405,Charts & Comparison,Line chart,"A line chart shows trends over an ordered axis, often time, by connecting points with lines. Good design choices improve interpretation and reduce misunderstanding.","generate question: Line chart <sep> A line chart shows trends over an ordered axis, often time, by connecting points with lines. Good design choices improve interpretation and reduce misunderstanding.",What type of relationship is a line chart best at showing?,easy,lab_sheet,gold
qg_0066,CAT405,Perception & Design,Clutter,Clutter is excessive visual detail that makes a chart harder to read and interpret. This is often taught as a core principle in visualization design.,generate question: Clutter <sep> Clutter is excessive visual detail that makes a chart harder to read and interpret. This is often taught as a core principle in visualization design.,What is visual clutter and how does it affect comprehension?,hard,lecture_notes,silver
qg_0067,CAT405,Perception & Design,Clutter,Clutter is excessive visual detail that makes a chart harder to read and interpret. Good design choices improve interpretation and reduce misunderstanding.,generate question: Clutter <sep> Clutter is excessive visual detail that makes a chart harder to read and interpret. Good design choices improve interpretation and reduce misunderstanding.,What is visual clutter and how does it affect comprehension?,easy,lecture_notes,gold
qg_0068,CAT405,Visual Encoding,Channels,"Visual channels are properties like position, color, size, and orientation used to encode data values.","generate question: Channels <sep> Visual channels are properties like position, color, size, and orientation used to encode data values.",What is a visual channel used for?,medium,lecture_notes,gold
qg_0069,CAT405,Perception & Design,Preattentive attributes,"Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. It supports common analytical tasks like comparison and identification of patterns.","generate question: Preattentive attributes <sep> Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. It supports common analytical tasks like comparison and identification of patterns.",What are preattentive attributes and why do they matter?,hard,lab_sheet,silver
qg_0070,CAT405,Visual Encoding,Size,Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values. This is often taught as a core principle in visualization design.,generate question: Size <sep> Size encodes magnitude by varying the area or length of marks to indicate larger or smaller values. This is often taught as a core principle in visualization design.,How does size typically encode data in charts?,easy,lab_sheet,gold
qg_0071,CAT405,Charts & Comparison,Bar chart,A bar chart compares values across categories using rectangular bars with a common baseline. This is often taught as a core principle in visualization design.,generate question: Bar chart <sep> A bar chart compares values across categories using rectangular bars with a common baseline. This is often taught as a core principle in visualization design.,When is a bar chart the best choice?,medium,lecture_notes,gold
qg_0072,CAT405,Charts & Comparison,Baseline,A baseline is a reference axis or starting point that supports accurate comparison of lengths or heights.,generate question: Baseline <sep> A baseline is a reference axis or starting point that supports accurate comparison of lengths or heights.,Why is a common baseline important in bar charts?,easy,lecture_notes,silver
qg_0073,CAT405,Visual Encoding,Color hue,Color hue differentiates categories by using different colors without implying order. This is often taught as a core principle in visualization design.,generate question: Color hue <sep> Color hue differentiates categories by using different colors without implying order. This is often taught as a core principle in visualization design.,When is color hue most appropriate as an encoding?,medium,textbook_notes,silver
qg_0074,CAT405,Perception & Design,Preattentive attributes,"Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. It supports common analytical tasks like comparison and identification of patterns.","generate question: Preattentive attributes <sep> Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. It supports common analytical tasks like comparison and identification of patterns.",What are preattentive attributes and why do they matter?,hard,tutorial,gold
qg_0075,CAT405,Visual Encoding,Position,Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. Good design choices improve interpretation and reduce misunderstanding.,generate question: Position <sep> Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. Good design choices improve interpretation and reduce misunderstanding.,Why is position considered a strong visual encoding channel?,easy,tutorial,silver
qg_0076,CAT405,Perception & Design,Proximity,"Proximity groups items that are close together, suggesting they belong together. It supports common analytical tasks like comparison and identification of patterns.","generate question: Proximity <sep> Proximity groups items that are close together, suggesting they belong together. It supports common analytical tasks like comparison and identification of patterns.",Which Gestalt principle is illustrated by grouping nearby points?,medium,textbook_notes,gold
qg_0077,CAT405,Perception & Design,Preattentive attributes,"Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. Good design choices improve interpretation and reduce misunderstanding.","generate question: Preattentive attributes <sep> Preattentive attributes are visual properties detected quickly, such as color, orientation, and size. Good design choices improve interpretation and reduce misunderstanding.",What are preattentive attributes and why do they matter?,medium,lecture_notes,gold
qg_0078,CAT405,Foundations,Insight,An insight is a meaningful understanding gained from data that supports decision-making or explains a phenomenon. It supports common analytical tasks like comparison and identification of patterns.,generate question: Insight <sep> An insight is a meaningful understanding gained from data that supports decision-making or explains a phenomenon. It supports common analytical tasks like comparison and identification of patterns.,What is an insight in the context of data analysis?,medium,tutorial,silver
qg_0079,CAT405,Visual Encoding,Channels,"Visual channels are properties like position, color, size, and orientation used to encode data values. This is often taught as a core principle in visualization design.","generate question: Channels <sep> Visual channels are properties like position, color, size, and orientation used to encode data values. This is often taught as a core principle in visualization design.",What is a visual channel used for?,hard,past_quiz,silver
qg_0080,CAT405,Charts & Comparison,Scatter plot,A scatter plot shows relationships between two quantitative variables using points on a plane. It supports common analytical tasks like comparison and identification of patterns.,generate question: Scatter plot <sep> A scatter plot shows relationships between two quantitative variables using points on a plane. It supports common analytical tasks like comparison and identification of patterns.,What is a scatter plot used to analyze?,easy,tutorial,silver
qg_0081,CAT405,Perception & Design,Chart junk,Chart junk is decorative or unnecessary elements that distract from the data message.,generate question: Chart junk <sep> Chart junk is decorative or unnecessary elements that distract from the data message.,Define chart junk and why should it be avoided?,easy,lecture_notes,silver
qg_0082,CAT405,Networks & Trees,Treemap,A treemap represents hierarchical data with nested rectangles sized by a quantitative value. It supports common analytical tasks like comparison and identification of patterns.,generate question: Treemap <sep> A treemap represents hierarchical data with nested rectangles sized by a quantitative value. It supports common analytical tasks like comparison and identification of patterns.,Which visualization uses nested rectangles to show hierarchical proportions?,easy,past_quiz,silver
qg_0083,CAT405,Evaluation,User study,A user study evaluates a visualization by observing how people perform tasks using it. It supports common analytical tasks like comparison and identification of patterns.,generate question: User study <sep> A user study evaluates a visualization by observing how people perform tasks using it. It supports common analytical tasks like comparison and identification of patterns.,What is a user study used for in visualization evaluation?,easy,past_quiz,gold
qg_0084,CAT405,Visual Encoding,Position,Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. Good design choices improve interpretation and reduce misunderstanding.,generate question: Position <sep> Position is a highly accurate channel that encodes values by placing marks along axes or spatial dimensions. Good design choices improve interpretation and reduce misunderstanding.,Why is position considered a strong visual encoding channel?,easy,lab_sheet,silver
qg_0085,CAT405,Perception & Design,Clutter,Clutter is excessive visual detail that makes a chart harder to read and interpret. Good design choices improve interpretation and reduce misunderstanding.,generate question: Clutter <sep> Clutter is excessive visual detail that makes a chart harder to read and interpret. Good design choices improve interpretation and reduce misunderstanding.,Define visual clutter and how does it affect comprehension?,easy,lab_sheet,gold
qg_0086,CAT405,Perception & Design,Chart junk,Chart junk is decorative or unnecessary elements that distract from the data message. It supports common analytical tasks like comparison and identification of patterns.,generate question: Chart junk <sep> Chart junk is decorative or unnecessary elements that distract from the data message. It supports common analytical tasks like comparison and identification of patterns.,What is chart junk and why should it be avoided?,medium,past_quiz,gold
qg_0087,CAT405,Interaction,Brushing,Brushing highlights selected items in one view and can link the selection across multiple views. Good design choices improve interpretation and reduce misunderstanding.,generate question: Brushing <sep> Brushing highlights selected items in one view and can link the selection across multiple views. Good design choices improve interpretation and reduce misunderstanding.,What is brushing in interactive visualization?,hard,tutorial,gold
qg_0088,CAT405,Interaction,Zooming,Zooming changes scale to see more detail or more overview of the data.,generate question: Zooming <sep> Zooming changes scale to see more detail or more overview of the data.,Why is zooming useful in interactive charts?,medium,lecture_notes,gold
qg_0089,CAT405,Networks & Trees,Adjacency matrix,An adjacency matrix represents a network by marking connections in a grid of rows and columns.,generate question: Adjacency matrix <sep> An adjacency matrix represents a network by marking connections in a grid of rows and columns.,When is an adjacency matrix preferable to a node-link diagram?,easy,lab_sheet,silver
qg_0090,CAT405,Charts & Comparison,Histogram,A histogram shows the distribution of a numerical variable by grouping values into bins.,generate question: Histogram <sep> A histogram shows the distribution of a numerical variable by grouping values into bins.,What does a histogram help you understand?,hard,tutorial,silver
qg_0091,CAT405,Perception & Design,Similarity,"Similarity groups items that look alike, such as sharing the same color or shape. This is often taught as a core principle in visualization design.","generate question: Similarity <sep> Similarity groups items that look alike, such as sharing the same color or shape. This is often taught as a core principle in visualization design.",How does similarity influence grouping in a visualization?,medium,textbook_notes,gold
